perfume_id,Name,Brand,Main_Accords,Top_Notes,Middle_Notes,Base_Notes,text_profile
20949,Hayati,Attar Collection,"Sweet, Fruity, Synthetic, Creamy, Floral","Berry syrup, Raspberry","Blackcurrant, Floral notes","Vanilla ice cream, White musk","Name: Hayati Brand: Attar Collection Main accords: Sweet, Fruity, Synthetic, Creamy, Floral Top notes: Berry syrup, Raspberry Middle notes: Blackcurrant, Floral notes Base notes: Vanilla ice cream, White musk"
17983,First Instinct Together Man,Abercrombie & Fitch,"Fresh, Synthetic, Fruity, Sweet, Aquatic","Cardamom, Grapefruit, Green apple","Lavender, Orange blossom, Pineapple leaf","Cedarwood, Sandalwood, Tonka bean","Name: First Instinct Together Man Brand: Abercrombie & Fitch Main accords: Fresh, Synthetic, Fruity, Sweet, Aquatic Top notes: Cardamom, Grapefruit, Green apple Middle notes: Lavender, Orange blossom, Pineapple leaf Base notes: Cedarwood, Sandalwood, Tonka bean"
19835,Glamorous Jasmine,Judith Williams,"Floral, Fruity, Sweet, Synthetic, Chypre","Grapefruit, Mandarin orange, Melon","Pink pepper, Jasmine, Rose","Musk, Oakmoss, Vetiver","Name: Glamorous Jasmine Brand: Judith Williams Main accords: Floral, Fruity, Sweet, Synthetic, Chypre Top notes: Grapefruit, Mandarin orange, Melon Middle notes: Pink pepper, Jasmine, Rose Base notes: Musk, Oakmoss, Vetiver"
31272,Opera,Rasasi,"Floral, Fruity","Bergamot, Blackcurrant","Jasmine, Rose",Musk,"Name: Opera Brand: Rasasi Main accords: Floral, Fruity Top notes: Bergamot, Blackcurrant Middle notes: Jasmine, Rose Base notes: Musk"
28443,Michelle Balenciaga 1979 Eau de Toilette,Balenciaga,"Floral, Powdery, Chypre, Spicy, Woody","Aldehydes, Leaf green, Gardenia, Coconut, Peach","Tuberose, Jasmine, Iris, Rose, Carnation, Orchid","Moss, Sandalwood, Civet, Musk, Vanilla, Vetiver, Benzoin","Name: Michelle Balenciaga 1979 Eau de Toilette Brand: Balenciaga Main accords: Floral, Powdery, Chypre, Spicy, Woody Top notes: Aldehydes, Leaf green, Gardenia, Coconut, Peach Middle notes: Tuberose, Jasmine, Iris, Rose, Carnation, Orchid Base notes: Moss, Sandalwood, Civet, Musk, Vanilla, Vetiver, Benzoin"
29587,Musk Sexy,Ulric de Varens,"Powdery, Fresh, Citrus, Woody, Earthy","Orange, White musk","Freesia, Honeysuckle, Jasmine, White musk","Sandalwood, Tonka bean, Vanilla, White musk","Name: Musk Sexy Brand: Ulric de Varens Main accords: Powdery, Fresh, Citrus, Woody, Earthy Top notes: Orange, White musk Middle notes: Freesia, Honeysuckle, Jasmine, White musk Base notes: Sandalwood, Tonka bean, Vanilla, White musk"
20140,Good Vibes,Ricarda M.,"Aquatic, Citrus, Woody, Fruity, Fresh","Aquatic notes, Mandarin orange, Orange, Pink pepper","Floral notes, Rose","Musky notes, Woody notes","Name: Good Vibes Brand: Ricarda M. Main accords: Aquatic, Citrus, Woody, Fruity, Fresh Top notes: Aquatic notes, Mandarin orange, Orange, Pink pepper Middle notes: Floral notes, Rose Base notes: Musky notes, Woody notes"
23644,Jungle Fantasy,Britney Spears,"Synthetic, Aquatic, Fruity, Sweet, Citrus","Violet leaf, Watermelon blossom, Yuzu","Gustavia ScentTrek™, Gardenia, Water lily","Cake, Tonka bean absolute","Name: Jungle Fantasy Brand: Britney Spears Main accords: Synthetic, Aquatic, Fruity, Sweet, Citrus Top notes: Violet leaf, Watermelon blossom, Yuzu Middle notes: Gustavia ScentTrek™, Gardenia, Water lily Base notes: Cake, Tonka bean absolute"
16027,Empire des Indes,Oriza L. Legrand,"Sweet, Resinous, Spicy, Powdery, Woody","Musk, Ginger","Heliotrope, Nag Champa, Peru balsam","Benzoin, Opoponax, Tonka bean","Name: Empire des Indes Brand: Oriza L. Legrand Main accords: Sweet, Resinous, Spicy, Powdery, Woody Top notes: Musk, Ginger Middle notes: Heliotrope, Nag Champa, Peru balsam Base notes: Benzoin, Opoponax, Tonka bean"
25876,Les Plaisirs Nature - Cerise Bigarreau Cherry,Yves Rocher,"Fruity, Sweet, Gourmand, Synthetic, Fresh",,,,"Name: Les Plaisirs Nature - Cerise Bigarreau Cherry Brand: Yves Rocher Main accords: Fruity, Sweet, Gourmand, Synthetic, Fresh Top notes:  Middle notes:  Base notes: "
37181,Spicy for Him,M. Micallef,"Spicy, Woody, Oriental, Fresh, Citrus","Tarragon, Lemon, Lavender","Cinnamon, Patchouli","Tree moss, Musk, Amber","Name: Spicy for Him Brand: M. Micallef Main accords: Spicy, Woody, Oriental, Fresh, Citrus Top notes: Tarragon, Lemon, Lavender Middle notes: Cinnamon, Patchouli Base notes: Tree moss, Musk, Amber"
39855,Valentino Donna Valentino Parfum Cheveux,Valentino,,Calabrian bergamot,"Bulgarian damask rose, Italian iris pallida","Vanilla, Indonesian patchouli, Italian leather","Name: Valentino Donna Valentino Parfum Cheveux Brand: Valentino Main accords:  Top notes: Calabrian bergamot Middle notes: Bulgarian damask rose, Italian iris pallida Base notes: Vanilla, Indonesian patchouli, Italian leather"
37551,Summer Attraction,Lancôme,"Spicy, Floral, Citrus",Bergamot,Gardenia,"Iris, Patchouli","Name: Summer Attraction Brand: Lancôme Main accords: Spicy, Floral, Citrus Top notes: Bergamot Middle notes: Gardenia Base notes: Iris, Patchouli"
20728,Halston Sheer,Halston,"Fruity, Floral, Fresh, Sweet, Powdery","Apple blossom, Pear",Lilac,"Musk, Sandalwood","Name: Halston Sheer Brand: Halston Main accords: Fruity, Floral, Fresh, Sweet, Powdery Top notes: Apple blossom, Pear Middle notes: Lilac Base notes: Musk, Sandalwood"
11045,Chugoku Musko Ensar Oud / Oriscent 2023 Eau de Parfum,Ensar Oud / Oriscent,"Citrus, Spicy, Woody, Fruity, Floral",,,,"Name: Chugoku Musko Ensar Oud / Oriscent 2023 Eau de Parfum Brand: Ensar Oud / Oriscent Main accords: Citrus, Spicy, Woody, Fruity, Floral Top notes:  Middle notes:  Base notes: "
