perfume_id,Name,Brand,Main_Accords,Top_Notes,Middle_Notes,Base_Notes,text_profile
1,Tidal Pool,CB I Hate Perfume,,Bergamot,French lavender,"Musk, Foulness","Name: Tidal Pool Brand: CB I Hate Perfume Main accords:  Top notes: Bergamot Middle notes: French lavender Base notes: Musk, Foulness"
2,Pumpkin Pie,CB I Hate Perfume,"Green, Leathery, Chypre, Animal",,,,"Name: Pumpkin Pie Brand: CB I Hate Perfume Main accords: Green, Leathery, Chypre, Animal Top notes:  Middle notes:  Base notes: "
3,Coco.Conut,W.Dressroom,,Coconut,"Milk, Tonka bean","Amber, Musk, Vanilla","Name: Coco.Conut Brand: W.Dressroom Main accords:  Top notes: Coconut Middle notes: Milk, Tonka bean Base notes: Amber, Musk, Vanilla"
4,Baby Green Tea,W.Dressroom,,"Basil, Bergamot, Lemon, Orange","Iris, Jasmine, Lily of the valley, Orchid, Rose","Amber, Musk","Name: Baby Green Tea Brand: W.Dressroom Main accords:  Top notes: Basil, Bergamot, Lemon, Orange Middle notes: Iris, Jasmine, Lily of the valley, Orchid, Rose Base notes: Amber, Musk"
5,Wet Pavement London,CB I Hate Perfume,,"Aquatic notes, Lemon, Tangerine, Charcoal","Amber, Cedarwood, Floral notes, Acridity","Leather, Oakmoss, Patchouli, Tonka bean, Sewer","Name: Wet Pavement London Brand: CB I Hate Perfume Main accords:  Top notes: Aquatic notes, Lemon, Tangerine, Charcoal Middle notes: Amber, Cedarwood, Floral notes, Acridity Base notes: Leather, Oakmoss, Patchouli, Tonka bean, Sewer"
6,Gogo Mango,W.Dressroom,,"Mango, Orange, Peach","Jasmine, Rose","Balsam, Musk","Name: Gogo Mango Brand: W.Dressroom Main accords:  Top notes: Mango, Orange, Peach Middle notes: Jasmine, Rose Base notes: Balsam, Musk"
7,Green Apple Magnolia Cucumber,Prouvé,,"Grapefruit, Green apple, Magnolia","Cucumber, Lily of the valley, Rose, Violet","Amber, Sandalwood","Name: Green Apple Magnolia Cucumber Brand: Prouvé Main accords:  Top notes: Grapefruit, Green apple, Magnolia Middle notes: Cucumber, Lily of the valley, Rose, Violet Base notes: Amber, Sandalwood"
8,October Woody,W.Dressroom,,"Lavender, Melon, Neroli","Freesia, Lily of the valley, Marine notes, Orchid, Ozonic notes, Violet","Cedarwood, Musk, Sandalwood","Name: October Woody Brand: W.Dressroom Main accords:  Top notes: Lavender, Melon, Neroli Middle notes: Freesia, Lily of the valley, Marine notes, Orchid, Ozonic notes, Violet Base notes: Cedarwood, Musk, Sandalwood"
9,At The Beach 1966,CB I Hate Perfume,,"Frankincense, Orange zest, Pimento, Brine","Cypriol, Lavender, Saffron, Spices, Staleness","Amber, Benzoin, Cedarwood, Frankincense, Gaiac wood, Gurjum balsam, Oakmoss, Patchouli","Name: At The Beach 1966 Brand: CB I Hate Perfume Main accords:  Top notes: Frankincense, Orange zest, Pimento, Brine Middle notes: Cypriol, Lavender, Saffron, Spices, Staleness Base notes: Amber, Benzoin, Cedarwood, Frankincense, Gaiac wood, Gurjum balsam, Oakmoss, Patchouli"
10,Winter 1972,CB I Hate Perfume,"Green, Spicy, Earthy, Floral, Sweet",,,,"Name: Winter 1972 Brand: CB I Hate Perfume Main accords: Green, Spicy, Earthy, Floral, Sweet Top notes:  Middle notes:  Base notes: "
11,Greenbriar 1968,CB I Hate Perfume,"Earthy, Resinous, Woody, Spicy, Sweet",,,,"Name: Greenbriar 1968 Brand: CB I Hate Perfume Main accords: Earthy, Resinous, Woody, Spicy, Sweet Top notes:  Middle notes:  Base notes: "
12,I am a Dandelion,CB I Hate Perfume,"Sweet, Gourmand, Green, Spicy, Resinous","Meringue, Magnolia, Myrrh","Parsley, Clove, Cypriol","Green vanilla, White oud, Nausea","Name: I am a Dandelion Brand: CB I Hate Perfume Main accords: Sweet, Gourmand, Green, Spicy, Resinous Top notes: Meringue, Magnolia, Myrrh Middle notes: Parsley, Clove, Cypriol Base notes: Green vanilla, White oud, Nausea"
13,Invisible Monster,CB I Hate Perfume,,"Ceylon cinnamon, Indian cardamom, Nutmeg, Persian saffron, Somalian frankincense, Spanish oregano, Nastiness","Cashmere wood, Egyptian papyrus","Ambergris, Atlas cedar, Bourbon vanilla, Indonesian patchouli, Mysore sandalwood, Virginia cedar, White musk, Putridity","Name: Invisible Monster Brand: CB I Hate Perfume Main accords:  Top notes: Ceylon cinnamon, Indian cardamom, Nutmeg, Persian saffron, Somalian frankincense, Spanish oregano, Nastiness Middle notes: Cashmere wood, Egyptian papyrus Base notes: Ambergris, Atlas cedar, Bourbon vanilla, Indonesian patchouli, Mysore sandalwood, Virginia cedar, White musk, Putridity"
14,On A Clear Day You Can See Forever,CB I Hate Perfume,"Smoky, Sweet, Gourmand, Spicy, Powdery","Cardamom, Pink pepper","Juniper, Vanilla, Quarklox","Cypress, Frankincense, Musk","Name: On A Clear Day You Can See Forever Brand: CB I Hate Perfume Main accords: Smoky, Sweet, Gourmand, Spicy, Powdery Top notes: Cardamom, Pink pepper Middle notes: Juniper, Vanilla, Quarklox Base notes: Cypress, Frankincense, Musk"
15,White Soap,W.Dressroom,,"Aldehydes, Galbanum, Lavender, Lime, Pear, Spices","Carnation, Gardenia, Orange blossom, Rose, Ylang-ylang","Amber, Cedar, Musk, Pine, Tonka bean","Name: White Soap Brand: W.Dressroom Main accords:  Top notes: Aldehydes, Galbanum, Lavender, Lime, Pear, Spices Middle notes: Carnation, Gardenia, Orange blossom, Rose, Ylang-ylang Base notes: Amber, Cedar, Musk, Pine, Tonka bean"
16,Orchid Tea Leaf Bergamot,Prouvé,,"Bergamot, Osmanthus, Tea","Freesia, Jasmine, Orchid, Rosa centifolia","Musk, Patchouli","Name: Orchid Tea Leaf Bergamot Brand: Prouvé Main accords:  Top notes: Bergamot, Osmanthus, Tea Middle notes: Freesia, Jasmine, Orchid, Rosa centifolia Base notes: Musk, Patchouli"
